<ID|readonly|noverify>;<English>;<French>;<Italian>;<German>;<Spanish>;<Russian>;<Polish>;<Czech>;<Turkish>;<Chinese>;<Japanese>;<Portuguese>;<Ukrainian>;<Serbian>;<Hungarian>;<Korean>;<Belarusian>;<Romanian>;<TChinese>;<HChinese>;<Vietnamese>
weapons/20mm_65_c38_zwilling_naval_user_cannon;20 mm L/65 C/38 Flakzwilling;;;;;;;;;;;;;;;;;;;;
weapons/20mm_65_rh_202_naval_user_cannon;20 mm L/65 Rh. 202;;;;;;;;;;;;;;;;;;;;
weapons/20mm_oerlikon_mk24_twin_mount_naval_user_cannon;20 mm L/70 Oerlikon Mk. 24;;;;;;;;;;;;;;;;;;;;
weapons/20mm_oerlikon_3s_single_naval_user_cannon;20 mm L/70 Oerlikon Mk. IIIS;;;;;;;;;;;;;;;;;;;;
weapons/20mm_oerlikon_mk2_single_naval_user_cannon/short;20 mm L/70 Oerlikon Mk. II;;;;;;;;;;;;;;;;;;;;
weapons/20mm_oerlikon_mk2_single_naval_user_cannon;20 mm L/70 Oerlikon Mk. II;;;;;;;;;;;;;;;;;;;;
weapons/20mm_oerlikon_mk5_twin_mount_naval_user_cannon;20 mm L/70 Oerlikon Mk. V;;;;;;;;;;;;;;;;;;;;
weapons/20mm_70_isotta_fraschini_mod1939_naval_user_cannon;20 mm L/70 Scotti-Isotta Fraschini mod.1939 autocannon;;;;;;;;;;;;;;;;;;;;
weapons/20mm_mg151_20_1938_naval_user_cannon;20 mm L/50 MG 151/20;;;;;;;;;;;;;;;;;;;;
weapons/20mm_type_98_naval_user_cannon;20 mm Type 98 autocannon;;;;;;;;;;;;;;;;;;;;
weapons/20mm_type_98_twin_type4_naval_user_cannon;20 mm Type 98 autocannon at Type 4 mount;;;;;;;;;;;;;;;;;;;;
weapons/23mm_2a14_naval_user_cannon;23 mm ZU-23;;;;;;;;;;;;;;;;;;;;
weapons/25mm_60_hotchkiss_naval_user_cannon;25 mm L/60 Hotchkiss automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/25mm_60_type96_naval_user_cannon;25 mm L/60 Type 96 automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/25mm_79_2m3_naval_user_cannon;25 mm L/79 2M-3 mounting;;;;;;;;;;;;;;;;;;;;
weapons/25mm_87_mark_38_naval_user_cannon;25 mm L/87 Mk. 38 cannon;;;;;;;;;;;;;;;;;;;;
weapons/28mm_75_mk_1_chicago_piano_naval_user_cannon/short;28 mm L/75 Mk. I;;;;;;;;;;;;;;;;;;;;
weapons/28mm_75_mk_1_chicago_piano_naval_user_cannon;28 mm L/75 Mk. I automatic gun;;;;;;;;;;;;;;;;;;;;
weapons/30mm_ak_230_naval_user_cannon/short;30 mm AK-230;;;;;;;;;;;;;;;;;;;;
weapons/30mm_ak_230_naval_user_cannon;30 mm AK-230;;;;;;;;;;;;;;;;;;;;
weapons/30mm_bp_30_mortar_naval_user_cannon;"30 mm automatic grenade launcher BP ""Plamya""";;;;;;;;;;;;;;;;;;;;
weapons/30mm_54_ak630_naval_user_cannon;30 mm L/54 AK-630;;;;;;;;;;;;;;;;;;;;
weapons/30mm_54_ak630m_naval_user_cannon;30 mm L/54 AK-630M;;;;;;;;;;;;;;;;;;;;
weapons/30mm_38_mk103_1942_naval_user_cannon;30 mm MK 103/38 cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_56_an_m4_naval_user_cannon;37 mm AN-M4 cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_70_model1935_naval_user_cannon;37 mm L/70 Canon antiaérien modèle 1935 ACNN;;;;;;;;;;;;;;;;;;;;
weapons/37mm_57_flak_36_naval_user_cannon;37 mm FlaK 36;;;;;;;;;;;;;;;;;;;;
weapons/37mm_57_flak_43_naval_user_cannon;37 mm FlaK 43;;;;;;;;;;;;;;;;;;;;
weapons/37mm_50_model1925_naval_user_cannon/short;37 mm L/50 model 1925;;;;;;;;;;;;;;;;;;;;
weapons/37mm_50_model1925_naval_user_cannon;37 mm L/50 model 1925 gun;;;;;;;;;;;;;;;;;;;;
weapons/37mm_50_model1933_naval_user_cannon/short;37 mm L/50 model 1933;;;;;;;;;;;;;;;;;;;;
weapons/37mm_50_model1933_naval_user_cannon;37 mm L/50 model 1933 gun;;;;;;;;;;;;;;;;;;;;
weapons/37mm_54_breda_mod1938_mod32_watercool_twin_naval_user_cannon;37 mm L/54 Breda Mod.32 auto cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_54_breda_mod1938_mod38_aircool_twin_naval_user_cannon;37 mm L/54 Breda Mod.38 auto cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_54_breda_mod1938_mod39_aircool_single_naval_user_cannon;37 mm L/54 Breda Mod.39 auto cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_67_70k_quad_naval_user_cannon;37 mm L/67 70-K automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_67_70k_single_naval_user_cannon;37 mm L/67 70-K automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_69_flak_m42_naval_user_cannon;37 mm L/69 FlaK-Lafette C/36 mounting;;;;;;;;;;;;;;;;;;;;
weapons/37mm_69_flak_lm42_twin_naval_user_cannon;37 mm L/69 FlaK-Lafette LM/42 mounting;;;;;;;;;;;;;;;;;;;;
weapons/37mm_70_model1935_naval_user_cannon/short;37 mm L/70 Canon antiaérien Mle. 1935;;;;;;;;;;;;;;;;;;;;
weapons/37mm_83_skc30_naval_user_cannon;37 mm L/83 C/30 SK;;;;;;;;;;;;;;;;;;;;
weapons/37mm_67_70k_twin_v11_naval_user_cannon;37 mm twin automatic V-11 cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_type_11_naval_user_cannon;37 mm Type 11 pattern 1922 cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_type_4_naval_user_cannon;37 mm Type 4 naval cannon;;;;;;;;;;;;;;;;;;;;
weapons/37mm_type_94_naval_user_cannon;37 mm Type 94 cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_2pdr_qf_mk2c_naval_user_cannon;40 mm 2pdr QF Mk. IIc automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_2pdr_qf_mk8_pom_pom_naval_user_cannon;40 mm 2pdr QF Mk. VIII automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_50_2pdr_rolls_royce_mk14_naval_user_cannon;40 mm 2pdr Rolls Royce semi-automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_56_4cm_flak_28_bofors_naval_user_cannon;40 mm Bofors Flak 28 cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_vickers_terni_mod15_17_naval_user_cannon;40 mm L/39 Vickers-Terni mod.1915/1917 automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_vickers_terni_mod1915_1917_naval_user_cannon;40 mm L/39 Vickers-Terni mod.1915/1917 automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_vickers_terni_naval_user_cannon;40 mm L/39 Vickers-Terni mod.1915/1917 automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_39_vickers_terni_mod15_17_modif1930_naval_user_cannon;40 mm L/39 Vickers-Terni mod.1915/1917, Modif.1930 automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l60_bofors_mk1_twin_naval_user_cannon;40 mm L/60 Bofors Mark 1 gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l60_bofors_mk2_quad_naval_user_cannon;40 mm L/60 Bofors Mark 2 gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l60_bofors_mk3_single_naval_user_cannon;40 mm L/60 Bofors Mark 3 gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_qf_bofors_mk5_twin_naval_user_cannon;40 mm L/60 QF Mark V gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_qf_bofors_mk7_single_naval_user_cannon;40 mm L/60 QF Mark VII gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_qf_bofors_staag_mk2_twin_naval_user_cannon;40 mm L/60 QF STAAG Mark II gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_62_hi_type91_naval_user_cannon;40 mm L/62 Vickers autocannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l70_bofors_model48_naval_user_cannon;40 mm L/70 Bofors model 1948 cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l70_bofors_early_breda_naval_user_cannon;40 mm L/70 Bofors-Breda gun;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l70_bofors_oto_breda_naval_user_cannon;40 mm L/70 Breda-Bofors type 107 auto cannon;;;;;;;;;;;;;;;;;;;;
weapons/40mm_l70_bofors_mel58_naval_user_cannon;40 mm L/70 MEL58 mounting;;;;;;;;;;;;;;;;;;;;
weapons/40mm_67_skoda_naval_user_cannon/short;40 mm L/67 Škoda;;;;;;;;;;;;;;;;;;;;
weapons/40mm_67_skoda_naval_user_cannon;40 mm L/67 Škoda;;;;;;;;;;;;;;;;;;;;
weapons/45mm_46_21k_naval_user_cannon;45 mm L/46 21-K cannon;;;;;;;;;;;;;;;;;;;;
weapons/45mm_68_21km_naval_user_cannon;45 mm L/68 21-KM cannon;;;;;;;;;;;;;;;;;;;;
weapons/45mm_89_sm_20_zif_naval_user_cannon;45 mm L/89 SM-20-ZIF automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/45mm_89_sm_21_zif_naval_user_cannon;45 mm L/89 SM-21-ZIF automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/47mm_qf3pdr_hotchkiss_naval_user_cannon;47 mm L/40 QF Hotchkiss cannon;;;;;;;;;;;;;;;;;;;;
weapons/52mm_55_skl55_naval_user_cannon;52 mm L/55 C/05 SK;;;;;;;;;;;;;;;;;;;;
weapons/57mm_ak_725_naval_user_cannon/short;57 mm AK-725;;;;;;;;;;;;;;;;;;;;
weapons/57mm_ak_725_naval_user_cannon;57 mm AK-725;;;;;;;;;;;;;;;;;;;;
weapons/57mm_type_97_1937_naval_user_cannon;57 mm L/18.5 Type 97 pattern 1937 tank cannon;;;;;;;;;;;;;;;;;;;;
weapons/57mm_43_6pdr_7cwt_qf_mk2a_naval_user_cannon;57 mm L/43 6pdr 7cwt QF Mk. IIA mounting;;;;;;;;;;;;;;;;;;;;
weapons/57mm_50_6pdr_7cwt_mk5_naval_user_cannon;57 mm L/50 6pdr QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/57mm_60_mle1951_naval_user_cannon;57 mm L/60 ACAD Mle 1951;;;;;;;;;;;;;;;;;;;;
weapons/63mm_38_obr1916_naval_user_cannon;63 mm L/38  pattern 1916 cannon;;;;;;;;;;;;;;;;;;;;
weapons/65mm_50_m1902_naval_user_cannon/short;65 mm L/50 model 1902;;;;;;;;;;;;;;;;;;;;
weapons/65mm_50_m1902_naval_user_cannon;65 mm L/50 model 1902 gun;;;;;;;;;;;;;;;;;;;;
weapons/65mm_64_ansaldo_terni_mod_1939_naval_user_cannon;65 mm L/64 Ansaldo-Terni Mod.1939 cannon;;;;;;;;;;;;;;;;;;;;
weapons/75mm_35_model_1897_naval_user_cannon/short;75 mm L/35 mod. 1897;;;;;;;;;;;;;;;;;;;;
weapons/75mm_35_model_1925_naval_user_cannon/short;75 mm L/35 mod. 1925;;;;;;;;;;;;;;;;;;;;
weapons/75mm_35_model_1897_naval_user_cannon;75 mm L/35 model 1897;;;;;;;;;;;;;;;;;;;;
weapons/75mm_35_model_1925_naval_user_cannon;75 mm L/35 model 1925;;;;;;;;;;;;;;;;;;;;
weapons/75mm_type_88_aa_naval_user_cannon;75 mm L/44 Type 88 AA cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50_canet_mod1891_naval_user_cannon;75 mm L/50 Canet model 1891 cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50_canet_obr1892_naval_user_cannon;75 mm L/50 Canet patt.1892 cannon at Meller mounting;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1922_aa_naval_user_cannon/short;75 mm L/50 model 1922;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1922_naval_user_cannon/short;75 mm L/50 model 1922;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1927_aa_naval_user_cannon/short;75 mm L/50 model 1922;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1922_aa_naval_user_cannon;75 mm L/50 model 1922 gun;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1922_naval_user_cannon;75 mm L/50 model 1922 gun;;;;;;;;;;;;;;;;;;;;
weapons/75mm_50_model_1927_aa_naval_user_cannon;75 mm L/50 model 1927 gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_ak_726_naval_user_cannon/short;76 mm AK-726;;;;;;;;;;;;;;;;;;;;
weapons/76mm_ak_726_naval_user_cannon;76 mm AK-726;;;;;;;;;;;;;;;;;;;;
weapons/76mm_3_40_12cwt_qf_mk5_naval_user_cannon;76 mm L/12 cwt QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_3_23_mk4_naval_user_cannon;76 mm L/23 Mk. IV cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_ansaldo_mod_1917_naval_user_cannon;76 mm L/40 Ansaldo cannon, mod.1917;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_armstrong_mod_1897_1910_naval_user_cannon;76 mm L/40 Armstrong cannon, mod.1897/1910;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_armstrong_mod_1897_1912_naval_user_cannon;76 mm L/40 Armstrong cannon, mod.1897/1912;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_41st_year_type_naval_user_cannon;76 mm L/40 Type 41 cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_45_3in_20cwt_qf_mk1_4_naval_user_cannon;76 mm L/45 QF 3in 20cwt cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_45_3in_20cwt_qf_mk1_naval_user_cannon;76 mm L/45 QF 3in 20cwt HA Mark I cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_45_schneider_mod1911_naval_user_cannon;76 mm L/45 Schneider cannon, mod.1911;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50_3inch_12pdr_18cwt_qf_mk1_naval_user_cannon;76 mm L/50 12pdr 18cwt QF Mark I cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50cal_mk33_twin_naval_user_cannon;76 mm L/50 Mk. 33 gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50_eu_mk33_twin_naval_user_cannon;76 mm L/50 Mk. 33 gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50cal_mk34_naval_user_cannon;76 mm L/50 Mk. 34 gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_3_50_mk10_ww1_mk11_mount_naval_user_cannon;76 mm L/50 Mk. X cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_3_50_mk10_naval_user_cannon;76 mm L/50 Mk. X gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_50_vickers_mod1909_naval_user_cannon;76 mm L/50 Vickers cannon, mod.1909;;;;;;;;;;;;;;;;;;;;
weapons/76mm_55_34k_naval_user_cannon;76 mm L/55 34-K mounting;;;;;;;;;;;;;;;;;;;;
weapons/76mm_55_39k_naval_user_cannon;76 mm L/55 39-K mounting;;;;;;;;;;;;;;;;;;;;
weapons/76mm_60_ak_126_naval_user_cannon;76 mm L/60 AK-176M automatic cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_62_oto_melara_compact_naval_user_cannon;76 mm L/62 OTO-Melara Compact automatic gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_62_oto_melara_sr_naval_user_cannon;76 mm L/62 OTO-Melara SR automatic gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_62_smp_3_naval_user_cannon;76 mm L/62 SMP 3 gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_70_mark_37_naval_user_cannon;76 mm L/70 Mk. 37 cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_70_mark_6_naval_user_cannon;76 mm L/70 Mk. VI cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_1914_lender_naval_user_cannon;76 mm Lender AA gun, pattern 1914/15;;;;;;;;;;;;;;;;;;;;
weapons/76mm_1914_lender_naval_user_cannon/short;76 mm Lender gun;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_f34_naval_user_cannon;76.2 mm L/40-PT-354B | F-34 obr. 1940 g. CNN;;;;;;;;;;;;;;;;;;;;
weapons/76mm_52_d56ts_naval_user_cannon;76.2 mm L/52-PT-347S | 2A16 | D-56TS CNN;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_type_88_aa_naval_user_cannon;80 mm L/40 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/76mm_40_type_88_naval_user_cannon;80 mm L/40 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/80mm_40_3rd_year_type_naval_user_cannon;80 mm L/40 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/80mm_60_type_98_naval_user_cannon;80 mm L/60 Type 98 cannon;;;;;;;;;;;;;;;;;;;;
weapons/81mm_mk_2_mortar_naval_user_cannon;81 mm Mk. 2 mortar;;;;;;;;;;;;;;;;;;;;
weapons/81mm_mk_2_mortar_naval_user_cannon/short;81 mm Mk. 2 mortar;;;;;;;;;;;;;;;;;;;;
weapons/82mm_bm_37_mortar_naval_user_cannon;82 mm BM-37 mortar;;;;;;;;;;;;;;;;;;;;
weapons/85mm_52_90k_naval_user_cannon;85 mm L/52 90-K cannon;;;;;;;;;;;;;;;;;;;;
weapons/85mm_52_92k_naval_user_cannon;85 mm L/52 92-K cannon;;;;;;;;;;;;;;;;;;;;
weapons/85mm_55_zis_s53_naval_user_cannon;85 mm L/55 52-PT-365 | ZiS-S-53 obr. 1944 g. CNN;;;;;;;;;;;;;;;;;;;;
weapons/87_6mm_31_ordnance_qf_naval_user_cannon;87.6 mm L/31 Ordnance QF 25pdr gun;;;;;;;;;;;;;;;;;;;;
weapons/88mm_56_flak18_naval_user_cannon;88 mm FlaK 18;;;;;;;;;;;;;;;;;;;;
weapons/88mm_56_flak36_naval_user_cannon;88 mm FlaK 36;;;;;;;;;;;;;;;;;;;;
weapons/88mm_45_skl_45_mpl_c06_naval_user_cannon;88 mm L/45 C/06 SK;;;;;;;;;;;;;;;;;;;;
weapons/88mm_45_skl_45_mpl_c13_ha_naval_user_cannon;88 mm L/45 C/13 SK;;;;;;;;;;;;;;;;;;;;
weapons/88mm_45_skc_30_naval_user_cannon/short;88 mm L/45 C/30 SK;;;;;;;;;;;;;;;;;;;;
weapons/88mm_45_skc_30_naval_user_cannon;88 mm L/45 C/30 SK;;;;;;;;;;;;;;;;;;;;
weapons/88mm_45_skc_35_naval_user_cannon;88 mm L/45 C/35 SK;;;;;;;;;;;;;;;;;;;;
weapons/88mm_76_skc_32_naval_user_cannon;88 mm L/76 C/32 SK;;;;;;;;;;;;;;;;;;;;
weapons/90mm_50_ansaldo_mod_1939_naval_user_cannon/short;90 mm L/50 Ansaldo model 1939;;;;;;;;;;;;;;;;;;;;
weapons/90mm_50_ansaldo_mod_1939_naval_user_cannon;90 mm L/50 Ansaldo model 1939 gun;;;;;;;;;;;;;;;;;;;;
weapons/90mm_50_mle_1926_naval_user_cannon/short;90 mm L/50 model 1926;;;;;;;;;;;;;;;;;;;;
weapons/90mm_50_mle_1926_naval_user_cannon;90 mm L/50 model 1926 gun;;;;;;;;;;;;;;;;;;;;
weapons/100mm_45_mle_1930_naval_user_cannon;100 mm L/45 Canon de 100 mm modèle 1930 CNN;;;;;;;;;;;;;;;;;;;;
weapons/100mm_45_mle_1930_naval_user_cannon/short;100 mm L/45 Canon Mle. 1930;;;;;;;;;;;;;;;;;;;;
weapons/100mm_45_m1917_naval_user_cannon/short;100 mm L/45 model 1917;;;;;;;;;;;;;;;;;;;;
weapons/100mm_45_m1917_naval_user_cannon;100 mm L/45 model 1917 gun;;;;;;;;;;;;;;;;;;;;
weapons/100mm_47_1928_naval_user_cannon;100 mm L/47 O.T.O. Mod. 1928 cannon;;;;;;;;;;;;;;;;;;;;
weapons/100mm_47_1937_naval_user_cannon;100 mm L/47 O.T.O. Mod. 1937 cannon;;;;;;;;;;;;;;;;;;;;
weapons/100mm_50_minizini_naval_user_cannon;100 mm L/50 Minizini naval gun;;;;;;;;;;;;;;;;;;;;
weapons/100mm_55_mle_1953_naval_user_cannon;100 mm L/55 MLE model 53 cannon;;;;;;;;;;;;;;;;;;;;
weapons/100mm_56_b34_1940_naval_user_cannon/short;100 mm L/56 B-34 1940;;;;;;;;;;;;;;;;;;;;
weapons/100mm_56_b34_aa_1940_naval_user_cannon/short;100 mm L/56 B-34 1940;;;;;;;;;;;;;;;;;;;;
weapons/100mm_56_b34_1940_naval_user_cannon;100 mm L/56 B-34 universal naval cannon, pattern 1940;;;;;;;;;;;;;;;;;;;;
weapons/100mm_56_b34_aa_1940_naval_user_cannon;100 mm L/56 B-34 universal naval cannon, pattern 1940;;;;;;;;;;;;;;;;;;;;
weapons/100mm_65_type_98_naval_user_cannon;100 mm L/65 Type 98 mod A cannon;;;;;;;;;;;;;;;;;;;;
weapons/100mm_70_ak100_naval_user_cannon;100 mm L/70 AK-100 cannon;;;;;;;;;;;;;;;;;;;;
weapons/100mm_70_sm_5_1_naval_user_cannon;100 mm L/70 SM-5-1 cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_33_4in_qf_mk23_naval_user_cannon;102 mm L/33 QF Mk. XXIII naval cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_35_sav_mod_1915_aa_naval_user_cannon;102 mm L/35 S.A.V. cannon, mod.1915;;;;;;;;;;;;;;;;;;;;
weapons/102mm_40_4in_qf_mark3_naval_user_cannon;102 mm L/40 QF Mk. III cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_45_4in_bl_mark9_10_naval_user_cannon;102 mm L/45 BL Mark IX cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_45_4in_qf_mark15_naval_user_cannon;102 mm L/45 Mk. XVI cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_45_4in_qf_mark16_21_naval_user_cannon;102 mm L/45 Mk. XVI cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_45_4in_qf_mark5_aa_naval_user_cannon;102 mm L/45 QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_45_4in_qf_mark5_naval_user_cannon;102 mm L/45 QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_50_4inch_bl_mk7_naval_user_cannon;102 mm L/50 BL Mk. VII cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_50_4inch_mk9_naval_user_cannon;102 mm L/50 Mk. IX cannon;;;;;;;;;;;;;;;;;;;;
weapons/102mm_60_1911_naval_user_cannon/short;102 mm L/60 Pattern 1911;;;;;;;;;;;;;;;;;;;;
weapons/102mm_60_1911_naval_user_cannon;102 mm L/60 Pattern 1911 naval gun;;;;;;;;;;;;;;;;;;;;
weapons/105mm_45_skc_32_naval_user_cannon;105 mm L/45 C/32 SK;;;;;;;;;;;;;;;;;;;;
weapons/105mm_60_sk_c33_df_naval_user_cannon;105 mm L/60 C/33 SK;;;;;;;;;;;;;;;;;;;;
weapons/105mm_60_sk_c33_naval_user_cannon;105 mm L/60 C/33 SK;;;;;;;;;;;;;;;;;;;;
weapons/105mm_l_65_naval_user_cannon;105 mm L/65 C/33 SK;;;;;;;;;;;;;;;;;;;;
weapons/114mm_19_4_5in_8cwt_qf_mark1_naval_user_cannon;114 mm 8cwt QF Mk. I mounting;;;;;;;;;;;;;;;;;;;;
weapons/114mm_45_qf_mk1_aa_naval_user_cannon;114 mm L/45 QF Mk. I cannon;;;;;;;;;;;;;;;;;;;;
weapons/114mm_45_qf_mk4_naval_user_cannon;114 mm L/45 QF Mk. IV cannon;;;;;;;;;;;;;;;;;;;;
weapons/114mm_45_qf_mk5_naval_user_cannon;114 mm L/45 QF Mk. V cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_3rd_year_type_ww1_naval_user_cannon;120 mm L/40 Armstrong cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_10th_year_type_naval_user_cannon;120 mm L/45 10th year type cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_type_3_naval_user_cannon;120 mm L/45 3rd Year Type cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_canet_schneider_armstrong_1918_naval_user_cannon;120 mm L/45 Canet-Schneider-Armstrong mod.1918-19;;;;;;;;;;;;;;;;;;;;
weapons/120mm_l_45_mark_8_naval_user_cannon;120 mm L/45 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_qf_mk12_mount_cp17_single_naval_user_cannon;120 mm L/45 Mk. XII cannon, ?PXVII mounting;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_4_7in_mark12_cp19_mount_naval_user_cannon;120 mm L/45 Mk. XII cannon, CPXIX mounting;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_oto_1926_naval_user_cannon;120 mm L/45 O.T.O. Mod. 1926 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_45_type_10_naval_user_cannon;120 mm L/45 Type 10 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_ansaldo_1926_naval_user_cannon;120 mm L/50 Ansaldo mod.1926 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_armstrong_1909_naval_user_cannon;120 mm L/50 Armstrong cannon, model 1909;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_mk4_bofors_1924_naval_user_cannon/short;120 mm L/50 Mk. 4 Bofors;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_mk4_bofors_1924_naval_user_cannon;120 mm L/50 Mk. 4 Bofors M1924 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_oto_1933_naval_user_cannon;120 mm L/50 O.T.O. Mod.1933 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_oto_1936_naval_user_cannon;120 mm L/50 O.T.O. Mod.1936 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_50_obr1905_naval_user_cannon;120 mm L/50 pattern 1905 cannon;;;;;;;;;;;;;;;;;;;;
weapons/120mm_40_qf_mk12_mount_ha_single_naval_user_cannon;120 mm L/40 Mk.XII cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_25_5inch_mk11_naval_user_cannon;127 mm L/25 Mk. XI cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_25_5inch_mk13_naval_user_cannon;127 mm L/25 Mk. XIII AA cannon;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_eu_mk12_turret_mk30_single_naval_user_cannon;127 mm L/38 Mk. 12 cannon, mount Mk. 30;;;;;;;;;;;;;;;;;;;;
weapons/127mm_5_38_mk12_turret_mk21_single_naval_user_cannon;127 mm L/38 Mk. 21 Dual Purpose mount;;;;;;;;;;;;;;;;;;;;
weapons/127mm_5_38_mk12_turret_mk30_single_naval_user_cannon;127 mm L/38 Mk. 30 Dual Purpose mount;;;;;;;;;;;;;;;;;;;;
weapons/127mm_5_38_mk12_turret_mk38_twin_naval_user_cannon;127 mm L/38 Mk. 38 Dual Purpose mount;;;;;;;;;;;;;;;;;;;;
weapons/127mm_38_mk12_turret_mk21_single_naval_user_cannon;127 mm L/38 Mk. XII cannon, mount Mk. 21;;;;;;;;;;;;;;;;;;;;
